batch_size,epochs,model__activation,model__dropout_rate,model__optimizer,score
8,2000,elu,0.1,sgd,-0.22106815936542917
32,2000,elu,0.05,rmsprop,-0.221153805463488
8,2000,elu,0.25,adam,-0.22120801308311044
8,2000,elu,0.15,rmsprop,-0.22121038965762005
2,2000,tanh,0.25,adamax,-0.2212200499993131
16,2000,selu,0.05,sgd,-0.22137267151342854
8,2000,elu,0.05,rmsprop,-0.22137545831469274
2,2000,selu,0.25,rmsprop,-0.22140181504026793
8,2000,selu,0.2,rmsprop,-0.2214072276770885
8,2000,tanh,0.25,rmsprop,-0.22141162872113146
16,2000,elu,0.05,adamax,-0.2215400766979884
32,2000,elu,0.15,adam,-0.22161222845828868
8,2000,selu,0.1,adam,-0.22171153846061137
32,2000,elu,0.1,adam,-0.221871282973794
8,2000,elu,0.1,adam,-0.22191553892734078
16,2000,elu,0.1,rmsprop,-0.2219782343312705
2,2000,elu,0.2,adamax,-0.22200186738958988
8,2000,selu,0.15,rmsprop,-0.22213845142832048
4,2000,selu,0.15,rmsprop,-0.22215919887345228
16,2000,selu,0.15,rmsprop,-0.22220019107065947
8,2000,elu,0.2,rmsprop,-0.22228386454801885
8,2000,elu,0.2,adam,-0.22229362164357247
8,2000,elu,0.1,adamax,-0.22236664295611352
8,2000,tanh,0.1,adam,-0.22238508513823865
16,2000,tanh,0.05,adamax,-0.22248610876698482
2,2000,tanh,0.2,rmsprop,-0.22253501991444172
16,2000,tanh,0.05,rmsprop,-0.22256874952387162
16,2000,elu,0.2,adamax,-0.22258784373442003
8,2000,tanh,0.2,rmsprop,-0.2226700939104264
32,2000,selu,0.15,rmsprop,-0.2226739482343578
4,2000,selu,0.2,rmsprop,-0.22269829284059967
8,2000,tanh,0.2,adam,-0.22273853326775123
4,2000,elu,0.25,rmsprop,-0.22274242267965455
16,2000,selu,0.05,adam,-0.22275863039504706
4,2000,selu,0.25,rmsprop,-0.2228345207598426
8,2000,elu,0.1,rmsprop,-0.22294180064841537
8,2000,tanh,0.25,adam,-0.22298322019035005
32,2000,tanh,0.05,rmsprop,-0.2229931295552596
2,2000,softplus,0.05,adam,-0.22307005987555795
4,2000,elu,0.05,adamax,-0.22307462934605937
32,2000,selu,0.1,rmsprop,-0.22308166504516458
8,2000,tanh,0.05,adamax,-0.22310935312315666
8,2000,tanh,0.1,rmsprop,-0.22311185464754887
32,2000,tanh,0.05,adam,-0.22313688399298892
8,2000,elu,0.15,adam,-0.2231600013892005
2,2000,elu,0.2,rmsprop,-0.22326823462517836
8,2000,elu,0.05,adamax,-0.22328381151751436
4,2000,tanh,0.2,rmsprop,-0.22330301171679684
2,2000,tanh,0.25,rmsprop,-0.2233351405405593
8,2000,tanh,0.15,rmsprop,-0.22336387905135935
8,2000,tanh,0.15,adam,-0.22339409270279165
4,2000,elu,0.2,rmsprop,-0.2235045261629353
2,2000,softplus,0.05,adamax,-0.2235560721616481
16,2000,tanh,0.2,sgd,-0.22358879129112885
8,2000,selu,0.1,rmsprop,-0.22363379687511287
2,2000,sigmoid,0.05,adamax,-0.22385522473212877
2,2000,sigmoid,0.05,adam,-0.2238847911910301
4,2000,tanh,0.1,rmsprop,-0.22390552261788696
2,2000,elu,0.15,rmsprop,-0.2240599109929345
32,2000,selu,0.25,sgd,-0.22417844490853703
4,2000,tanh,0.25,rmsprop,-0.2242404265081268
4,2000,elu,0.05,rmsprop,-0.22433210424401978
2,2000,relu,0.25,adamax,-0.22442094448575867
4,2000,tanh,0.15,rmsprop,-0.22453350613880513
4,2000,selu,0.1,rmsprop,-0.2246174777162257
4,2000,softplus,0.1,adam,-0.22468775310342703
4,2000,sigmoid,0.05,adam,-0.22474603780770347
4,2000,selu,0.2,adam,-0.2248495129856754
8,2000,selu,0.05,adam,-0.22487350123487912
4,2000,elu,0.2,adam,-0.22491955868890118
4,2000,elu,0.15,adam,-0.22501647694965543
4,2000,elu,0.15,rmsprop,-0.2250208272062429
2,2000,elu,0.25,rmsprop,-0.22510580199776797
4,2000,elu,0.25,adam,-0.22511986768460598
2,2000,relu,0.15,sgd,-0.22518904633938314
4,2000,tanh,0.2,adam,-0.2253591641402979
8,2000,selu,0.05,rmsprop,-0.22546593739135345
32,2000,selu,0.1,sgd,-0.22548204800808216
4,2000,tanh,0.05,rmsprop,-0.22555375367381142
4,2000,tanh,0.15,adam,-0.2255990731746688
2,2000,sigmoid,0.25,adam,-0.22568498564809755
4,2000,selu,0.25,adam,-0.22579745330553974
16,2000,tanh,0.15,adamax,-0.22581825183493748
2,2000,softplus,0.15,rmsprop,-0.22586385105498621
16,2000,tanh,0.25,sgd,-0.22593540787985053
32,2000,selu,0.2,sgd,-0.22594241543230648
4,2000,softplus,0.15,adam,-0.2259903608758203
2,2000,selu,0.15,rmsprop,-0.22622660298475444
4,2000,selu,0.15,adam,-0.22628332514205401
4,2000,elu,0.1,adam,-0.22631651823631002
16,2000,elu,0.15,adamax,-0.22637358720234463
32,2000,selu,0.05,sgd,-0.2264046065620501
