batch_size,epochs,model__activation,model__dropout_rate,model__optimizer,score
8,10,sigmoid,0.05,sgd,-0.25386199541425386
4,10,sigmoid,0.25,sgd,-0.25386430553370853
4,10,relu,0.2,sgd,-0.25387725657266236
2,10,tanh,0.15,sgd,-0.25390577098086875
8,10,tanh,0.05,sgd,-0.2540911769226569
2,10,sigmoid,0.2,sgd,-0.25412654685785796
4,10,sigmoid,0.05,sgd,-0.2545063247835794
4,10,elu,0.05,sgd,-0.2545779664249347
2,10,relu,0.25,sgd,-0.2546018933427243
2,10,softplus,0.2,sgd,-0.2546641986934964
8,10,relu,0.1,sgd,-0.2546667115484481
8,10,sigmoid,0.25,sgd,-0.25521175810481533
8,10,softplus,0.25,sgd,-0.2552484076834367
4,10,softplus,0.1,rmsprop,-0.2552699726506127
2,10,relu,0.1,sgd,-0.2557761474215414
4,10,relu,0.25,sgd,-0.2559015368378018
2,10,relu,0.1,adamax,-0.2559107634958022
8,10,sigmoid,0.15,sgd,-0.2562122626650729
2,10,sigmoid,0.15,sgd,-0.25624857091268904
4,10,elu,0.1,sgd,-0.25641854412568005
8,10,tanh,0.15,sgd,-0.2567656612704305
2,10,elu,0.2,sgd,-0.2568627023617456
2,10,tanh,0.25,sgd,-0.25704128050982933
4,10,softplus,0.05,adamax,-0.2573398923961833
16,10,sigmoid,0.2,sgd,-0.25747798595042193
4,10,sigmoid,0.1,sgd,-0.25779126146646025
4,10,relu,0.15,sgd,-0.2578228240363659
4,10,softplus,0.2,adamax,-0.257861151265549
8,10,elu,0.05,sgd,-0.2578655413644396
8,10,elu,0.2,sgd,-0.2585337105070512
4,10,softplus,0.15,sgd,-0.2586983741821908
8,10,softplus,0.2,sgd,-0.258763231253786
4,10,sigmoid,0.25,adam,-0.2587898319559472
8,10,relu,0.25,sgd,-0.2591694578438789
2,10,sigmoid,0.15,adam,-0.25924819353044526
2,10,tanh,0.05,sgd,-0.25932347406320505
4,10,elu,0.05,adamax,-0.25933230638968086
2,10,relu,0.15,sgd,-0.25940615295739733
16,10,softplus,0.05,sgd,-0.25940860365721363
4,10,softplus,0.05,sgd,-0.2597567627564823
2,10,relu,0.05,sgd,-0.25981286495593453
2,10,sigmoid,0.05,sgd,-0.2598566076397717
4,10,softplus,0.2,sgd,-0.2598753700850723
8,10,relu,0.05,sgd,-0.25999997206559866
8,10,softplus,0.15,rmsprop,-0.2601254103524454
8,10,tanh,0.25,sgd,-0.26099949719775806
8,10,selu,0.2,sgd,-0.26102797426723845
2,10,sigmoid,0.1,sgd,-0.2615040482076082
8,10,elu,0.1,sgd,-0.2620272807521287
2,10,sigmoid,0.25,sgd,-0.2623762109975996
8,10,sigmoid,0.1,sgd,-0.26243744722408874
4,10,sigmoid,0.2,sgd,-0.2628818980712373
4,10,relu,0.05,sgd,-0.262933763573363
4,10,softplus,0.2,adam,-0.26379193504415444
4,10,tanh,0.25,rmsprop,-0.2644627720665329
2,10,softplus,0.1,sgd,-0.2648440651709937
16,10,softplus,0.25,sgd,-0.2652560014657411
4,10,selu,0.25,adamax,-0.2671569973883442
4,10,sigmoid,0.15,sgd,-0.26821717912433346
4,10,relu,0.1,adam,-0.2703495198135296
2,10,softplus,0.25,sgd,-0.2703678436129967
8,10,softplus,0.1,adam,-0.2747724890857025
4,10,sigmoid,0.15,rmsprop,-0.27600307978833993
16,10,selu,0.25,sgd,-0.27702674405307925
32,10,softplus,0.25,sgd,-0.2797799920419204
16,10,sigmoid,0.05,sgd,-0.2813450639651949
8,10,sigmoid,0.25,adam,-0.2840098306958696
16,10,softplus,0.15,adam,-0.284610123913718
32,10,softplus,0.05,sgd,-0.28570351773845115
8,10,softplus,0.15,adam,-0.286157837163604
8,10,selu,0.1,rmsprop,-0.2872998502558506
32,10,softplus,0.1,sgd,-0.29275348636240095
4,10,tanh,0.1,adamax,-0.29312702321275796
8,10,selu,0.05,adam,-0.2983530647654816
2,10,relu,0.15,adamax,-0.30626970433644396
16,10,selu,0.05,sgd,-0.31225894159529166
4,10,tanh,0.05,adamax,-0.3132460102123689
16,10,elu,0.25,sgd,-0.3132478031389638
8,10,selu,0.05,rmsprop,-0.31953101088090063
4,10,relu,0.2,adam,-0.32125853222584394
4,10,relu,0.25,rmsprop,-0.3290220374514318
2,10,relu,0.05,adamax,-0.33018422607410447
4,10,elu,0.25,adamax,-0.3330932307162876
4,10,sigmoid,0.1,rmsprop,-0.3337528224323322
16,10,elu,0.05,sgd,-0.33776265168758923
8,10,selu,0.25,adam,-0.33784687306526284
16,10,relu,0.25,sgd,-0.3398659851839193
4,10,elu,0.15,adamax,-0.34187224845245423
4,10,tanh,0.2,adamax,-0.34304673456093354
16,10,tanh,0.1,sgd,-0.3450113012842767
16,10,elu,0.15,sgd,-0.34616996959607604
8,10,softplus,0.05,adam,-0.34672468409183443
16,10,tanh,0.15,sgd,-0.34720073807770147
4,10,softplus,0.25,rmsprop,-0.3504724602339512
32,10,softplus,0.2,sgd,-0.3505174226177856
16,10,sigmoid,0.1,sgd,-0.3563705158008459
4,10,sigmoid,0.05,rmsprop,-0.35764074013246755
8,10,sigmoid,0.1,adamax,-0.35964899634724706
16,10,softplus,0.1,adamax,-0.36081909002903817
16,10,tanh,0.2,sgd,-0.3637581928802064
16,10,sigmoid,0.25,sgd,-0.36658604795555966
4,10,softplus,0.15,adamax,-0.3688768609251766
16,10,relu,0.2,sgd,-0.37136367676639426
8,10,sigmoid,0.05,adam,-0.37256564732251357
16,10,tanh,0.25,sgd,-0.3725730754512573
16,10,elu,0.2,sgd,-0.37411211552749074
8,10,elu,0.1,adam,-0.3753613027354136
32,10,softplus,0.2,adam,-0.37664928951743415
2,10,relu,0.05,rmsprop,-0.37700386301877564
8,10,selu,0.15,adamax,-0.37712220505337696
16,10,relu,0.05,sgd,-0.3776030006437219
4,10,relu,0.25,adam,-0.3780405937717213
8,10,sigmoid,0.1,rmsprop,-0.38069135153759054
2,10,relu,0.25,adamax,-0.38219903817202816
16,10,elu,0.1,sgd,-0.3824182098990818
4,10,tanh,0.15,adamax,-0.38285870783437803
4,10,relu,0.05,adam,-0.38458082048710907
32,10,sigmoid,0.2,sgd,-0.3852081417069535
16,10,tanh,0.05,sgd,-0.38595092689834376
32,10,selu,0.25,sgd,-0.3897171323455799
32,10,sigmoid,0.05,sgd,-0.39007311269291295
8,10,selu,0.15,rmsprop,-0.390533108980216
8,10,selu,0.15,adam,-0.39319784177244355
8,10,selu,0.2,adam,-0.39713391893926764
4,10,sigmoid,0.25,adamax,-0.3979157480499631
8,10,selu,0.25,rmsprop,-0.3980157254802939
8,10,elu,0.05,adam,-0.400977479460607
8,10,softplus,0.1,adamax,-0.4028091654535101
32,10,sigmoid,0.15,sgd,-0.4056498705398879
8,10,softplus,0.2,adam,-0.41058218717377243
8,10,tanh,0.15,rmsprop,-0.41601182290570304
8,10,elu,0.2,rmsprop,-0.4161060842877273
8,10,sigmoid,0.2,adam,-0.41660992869724073
4,10,relu,0.05,rmsprop,-0.42321411894511096
8,10,tanh,0.1,rmsprop,-0.4236356416555963
8,10,selu,0.1,adamax,-0.4239260924063814
32,10,selu,0.15,sgd,-0.42422290275862307
16,10,softplus,0.15,rmsprop,-0.4252121103040256
4,10,softplus,0.25,adamax,-0.4321892310572139
4,10,relu,0.15,rmsprop,-0.4333175712498019
8,10,tanh,0.25,adam,-0.43392447042613536
4,10,relu,0.1,adamax,-0.43395384117712443
16,10,relu,0.15,sgd,-0.43539970671024186
4,10,relu,0.2,rmsprop,-0.4375546032176708
8,10,elu,0.25,rmsprop,-0.4391677798719362
4,10,elu,0.1,adamax,-0.4398317537997083
16,10,relu,0.1,sgd,-0.44122857413807354
16,10,softplus,0.25,adam,-0.44248491449401955
8,10,tanh,0.05,adam,-0.44452016037877107
32,10,softplus,0.15,sgd,-0.44671713427381154
16,10,sigmoid,0.15,adam,-0.44953495725892784
8,10,elu,0.1,rmsprop,-0.45213589982557795
8,10,tanh,0.2,rmsprop,-0.4539980119712941
16,10,sigmoid,0.25,rmsprop,-0.4597245366712337
16,10,softplus,0.2,adam,-0.45973753651881
32,10,softplus,0.05,adamax,-0.46957329338575926
8,10,sigmoid,0.05,rmsprop,-0.4696199491791652
32,10,selu,0.2,sgd,-0.47482299077501305
8,10,tanh,0.05,adamax,-0.4749469119726056
8,10,softplus,0.15,adamax,-0.47495892203255563
8,10,sigmoid,0.15,adam,-0.47815372165348713
8,10,elu,0.1,adamax,-0.47960757010849
16,10,sigmoid,0.25,adam,-0.4832181397241364
16,10,sigmoid,0.2,adamax,-0.4855529423183949
8,10,elu,0.05,rmsprop,-0.4917806653681041
16,10,sigmoid,0.15,rmsprop,-0.49340252685460495
8,10,relu,0.25,rmsprop,-0.4954213685495811
32,10,softplus,0.05,rmsprop,-0.49636966313107267
8,10,selu,0.1,adam,-0.4977675551709416
16,10,sigmoid,0.05,adam,-0.4985700999286601
8,10,sigmoid,0.05,adamax,-0.5011194005523726
8,10,selu,0.2,adamax,-0.5015465331884279
32,10,softplus,0.25,adam,-0.5028081895276223
8,10,tanh,0.1,adamax,-0.5064346054874895
8,10,tanh,0.2,adam,-0.5084503810920409
32,10,selu,0.05,sgd,-0.5087006239170755
8,10,softplus,0.25,rmsprop,-0.5098531205245158
8,10,tanh,0.1,adam,-0.5119381926465653
8,10,elu,0.25,adam,-0.5133110440534018
4,10,sigmoid,0.05,adamax,-0.513354004032035
8,10,selu,0.25,adamax,-0.5151920081837542
4,10,relu,0.25,adamax,-0.5162017669859286
8,10,relu,0.15,adam,-0.5193721762782478
16,10,sigmoid,0.1,adamax,-0.520686153514935
32,10,elu,0.05,sgd,-0.5210925046515694
8,10,sigmoid,0.2,adamax,-0.5234832099197969
16,10,selu,0.2,adam,-0.5257654088173968
8,10,relu,0.05,adam,-0.5268972020323388
4,10,sigmoid,0.2,adamax,-0.5275344986748567
4,10,relu,0.15,adamax,-0.5288530572626495
4,10,relu,0.1,rmsprop,-0.5292273982641844
32,10,sigmoid,0.15,rmsprop,-0.5340369829998826
16,10,selu,0.05,rmsprop,-0.5342449656392207
8,10,elu,0.2,adamax,-0.5345891152940435
8,10,softplus,0.25,adamax,-0.537179787721247
4,10,relu,0.2,adamax,-0.5383970442040142
8,10,tanh,0.25,rmsprop,-0.538940762327545
32,10,sigmoid,0.25,sgd,-0.5391790764124247
8,10,tanh,0.2,adamax,-0.5423593722956201
8,10,elu,0.15,adam,-0.5481639051058391
8,10,selu,0.05,adamax,-0.5597949698799138
8,10,elu,0.15,rmsprop,-0.5598468200388043
8,10,relu,0.15,rmsprop,-0.5605442611739393
8,10,elu,0.2,adam,-0.567911689475412
32,10,elu,0.1,sgd,-0.5692898461295499
32,10,softplus,0.25,adamax,-0.5734013042859745
8,10,tanh,0.05,rmsprop,-0.5751080547607812
8,10,sigmoid,0.15,adamax,-0.5777211358892667
32,10,relu,0.2,sgd,-0.5779178867922095
32,10,tanh,0.15,sgd,-0.5825527622411668
32,10,tanh,0.2,sgd,-0.5876213683323328
8,10,softplus,0.2,adamax,-0.5882732982846204
32,10,elu,0.2,sgd,-0.5898585582138125
32,10,relu,0.05,sgd,-0.5913817575842166
32,10,elu,0.15,sgd,-0.5926060903059853
16,10,sigmoid,0.1,adam,-0.5946557995175061
32,10,sigmoid,0.2,adam,-0.5950396056281615
32,10,selu,0.1,sgd,-0.5972271328756961
8,10,tanh,0.25,adamax,-0.6003606359011315
32,10,elu,0.25,sgd,-0.6003820459376685
16,10,selu,0.2,adamax,-0.6014365044146318
8,10,relu,0.1,adamax,-0.6016273584722527
32,10,tanh,0.05,sgd,-0.6062537492093044
16,10,sigmoid,0.05,adamax,-0.6076182872874212
