activation,batch_size,dropout_rate,epochs,neurons,optimizer,verbose,score
selu,4,0.1,2000,10,sgd,0,-0.08615471795201302
tanh,64,0.2,2000,10,adam,0,-0.0861663669347763
selu,64,0.2,2000,10,adam,0,-0.08617608994245529
elu,8,0.1,2000,10,adam,0,-0.08624561876058578
tanh,32,0.05,2000,10,adam,0,-0.08629213646054268
elu,8,0.2,2000,10,rmsprop,0,-0.08630730956792831
relu,4,0.1,2000,10,adam,0,-0.08636032417416573
elu,64,0.25,2000,10,adam,0,-0.086360864341259
tanh,4,0.25,2000,10,sgd,0,-0.08647160232067108
elu,16,0.15,2000,10,adamax,0,-0.08660344406962395
selu,64,0.1,2000,10,rmsprop,0,-0.08662694692611694
tanh,8,0.2,2000,10,adam,0,-0.0866275355219841
relu,4,0.1,2000,10,sgd,0,-0.08665327727794647
elu,8,0.1,2000,10,sgd,0,-0.08666002750396729
elu,4,0.05,2000,10,rmsprop,0,-0.08669212087988853
selu,16,0.1,2000,10,adamax,0,-0.08669297397136688
selu,8,0.25,2000,10,sgd,0,-0.0866977721452713
selu,4,0.1,2000,10,adam,0,-0.08670542761683464
relu,8,0.05,2000,10,sgd,0,-0.08670876175165176
relu,8,0.2,2000,10,rmsprop,0,-0.08676254004240036
relu,4,0.05,2000,10,sgd,0,-0.08676419779658318
selu,8,0.05,2000,10,adamax,0,-0.08681629598140717
selu,32,0.2,2000,10,sgd,0,-0.0868968702852726
selu,64,0.05,2000,10,rmsprop,0,-0.08698303252458572
selu,16,0.2,2000,10,sgd,0,-0.08704936504364014
softplus,8,0.05,2000,10,rmsprop,0,-0.08706343173980713
selu,16,0.05,2000,10,sgd,0,-0.08712493628263474
relu,8,0.15,2000,10,adamax,0,-0.08713335171341896
elu,8,0.05,2000,10,adamax,0,-0.08714249730110168
elu,4,0.2,2000,10,rmsprop,0,-0.08720067888498306
selu,8,0.1,2000,10,sgd,0,-0.08722330257296562
selu,32,0.05,2000,10,rmsprop,0,-0.08728029206395149
tanh,64,0.15,2000,10,adam,0,-0.08732752129435539
tanh,4,0.15,2000,10,sgd,0,-0.08733852580189705
elu,32,0.05,2000,10,adam,0,-0.08747625723481178
selu,32,0.15,2000,10,sgd,0,-0.0874989777803421
selu,8,0.2,2000,10,rmsprop,0,-0.08751703426241875
selu,64,0.1,2000,10,adam,0,-0.08753306791186333
tanh,4,0.2,2000,10,sgd,0,-0.0875503458082676
relu,4,0.2,2000,10,adamax,0,-0.08759485185146332
elu,32,0.05,2000,10,rmsprop,0,-0.08763547241687775
tanh,16,0.2,2000,10,sgd,0,-0.08768321573734283
tanh,4,0.05,2000,10,sgd,0,-0.08770094066858292
tanh,16,0.1,2000,10,adamax,0,-0.08770390972495079
selu,32,0.05,2000,10,adam,0,-0.08773771673440933
elu,4,0.1,2000,10,rmsprop,0,-0.08789809793233871
elu,8,0.2,2000,10,adam,0,-0.0879649817943573
tanh,8,0.15,2000,10,sgd,0,-0.08797383308410645
elu,64,0.2,2000,10,adam,0,-0.0880102887749672
elu,16,0.25,2000,10,sgd,0,-0.08802829682826996
selu,8,0.1,2000,10,adam,0,-0.08803508803248405
elu,64,0.1,2000,10,adam,0,-0.08804004266858101
selu,32,0.25,2000,10,sgd,0,-0.08824299648404121
elu,8,0.05,2000,10,sgd,0,-0.0882532149553299
tanh,16,0.1,2000,10,sgd,0,-0.08825692534446716
softplus,8,0.05,2000,10,adam,0,-0.08826543763279915
sigmoid,8,0.05,2000,10,adam,0,-0.0882885754108429
relu,16,0.1,2000,10,adam,0,-0.08831953629851341
elu,16,0.1,2000,10,adamax,0,-0.08836011588573456
selu,4,0.05,2000,10,sgd,0,-0.08839812129735947
elu,64,0.15,2000,10,adam,0,-0.08844111114740372
relu,4,0.05,2000,10,adamax,0,-0.08846566826105118
selu,64,0.15,2000,10,sgd,0,-0.08848199620842934
relu,16,0.05,2000,10,adamax,0,-0.08849241212010384
relu,4,0.25,2000,10,sgd,0,-0.08850624039769173
tanh,64,0.1,2000,10,adam,0,-0.08850785717368126
tanh,16,0.05,2000,10,adamax,0,-0.08851571753621101
elu,64,0.05,2000,10,rmsprop,0,-0.0885201245546341
relu,8,0.1,2000,10,sgd,0,-0.08852984756231308
elu,16,0.1,2000,10,sgd,0,-0.08853014186024666
softplus,8,0.1,2000,10,rmsprop,0,-0.0885363295674324
selu,16,0.05,2000,10,adamax,0,-0.08858925849199295
elu,16,0.05,2000,10,sgd,0,-0.08860138431191444
elu,16,0.2,2000,10,sgd,0,-0.08861740306019783
relu,4,0.2,2000,10,sgd,0,-0.08880814909934998
selu,64,0.2,2000,10,sgd,0,-0.08888782933354378
selu,32,0.1,2000,10,sgd,0,-0.08892801031470299
tanh,32,0.15,2000,10,adamax,0,-0.08895469456911087
tanh,16,0.05,2000,10,sgd,0,-0.08895674347877502
relu,4,0.15,2000,10,adamax,0,-0.08897946029901505
elu,16,0.05,2000,10,adamax,0,-0.08898483216762543
tanh,16,0.15,2000,10,sgd,0,-0.08898704126477242
relu,8,0.25,2000,10,rmsprop,0,-0.08900132402777672
softplus,4,0.05,2000,10,rmsprop,0,-0.08901677280664444
tanh,64,0.05,2000,10,rmsprop,0,-0.08907857164740562
sigmoid,8,0.05,2000,10,rmsprop,0,-0.08908771350979805
selu,8,0.25,2000,10,adam,0,-0.08911383524537086
selu,4,0.25,2000,10,sgd,0,-0.08917242288589478
relu,16,0.25,2000,10,rmsprop,0,-0.08921965584158897
relu,4,0.15,2000,10,rmsprop,0,-0.08922984451055527
relu,4,0.25,2000,10,adamax,0,-0.0892854817211628
selu,8,0.15,2000,10,sgd,0,-0.08935647830367088
relu,4,0.25,2000,10,rmsprop,0,-0.08939066529273987
selu,64,0.05,2000,10,sgd,0,-0.08942782133817673
sigmoid,8,0.1,2000,10,rmsprop,0,-0.08943676948547363
selu,32,0.25,2000,10,adamax,0,-0.08948314189910889
relu,8,0.15,2000,10,rmsprop,0,-0.08948501572012901
selu,32,0.05,2000,10,sgd,0,-0.08949961885809898
selu,64,0.1,2000,10,sgd,0,-0.08952159807085991
relu,16,0.2,2000,10,adamax,0,-0.08955373987555504
selu,8,0.2,2000,10,adam,0,-0.08956954628229141
tanh,32,0.05,2000,10,sgd,0,-0.08965952321887016
elu,64,0.05,2000,10,adam,0,-0.08966022357344627
selu,64,0.05,2000,10,adam,0,-0.08970271050930023
elu,4,0.15,2000,10,adam,0,-0.08973848074674606
relu,32,0.25,2000,10,rmsprop,0,-0.08974134922027588
tanh,16,0.25,2000,10,sgd,0,-0.08974205702543259
selu,4,0.1,2000,10,rmsprop,0,-0.08974917605519295
sigmoid,4,0.05,2000,10,adam,0,-0.08980434015393257
elu,16,0.15,2000,10,sgd,0,-0.08981375023722649
relu,16,0.05,2000,10,sgd,0,-0.08981694281101227
softplus,16,0.15,2000,10,rmsprop,0,-0.08982391282916069
softplus,16,0.1,2000,10,rmsprop,0,-0.08985035493969917
tanh,32,0.2,2000,10,adamax,0,-0.08990878239274025
tanh,64,0.05,2000,10,adam,0,-0.0899699218571186
softplus,8,0.15,2000,10,rmsprop,0,-0.09001736342906952
elu,32,0.05,2000,10,sgd,0,-0.09005099162459373
relu,64,0.2,2000,10,rmsprop,0,-0.09016086161136627
relu,4,0.1,2000,10,adamax,0,-0.09020794183015823
sigmoid,8,0.1,2000,10,adam,0,-0.09026183187961578
tanh,32,0.1,2000,10,adamax,0,-0.09033365175127983
sigmoid,8,0.15,2000,10,adam,0,-0.09037118777632713
elu,32,0.1,2000,10,sgd,0,-0.09042539075016975
tanh,32,0.2,2000,10,sgd,0,-0.09045247361063957
relu,8,0.25,2000,10,adamax,0,-0.09045368805527687
tanh,32,0.15,2000,10,sgd,0,-0.09047235921025276
selu,32,0.15,2000,10,adamax,0,-0.09050114080309868
elu,32,0.1,2000,10,adamax,0,-0.09050246328115463
relu,8,0.2,2000,10,sgd,0,-0.0905238464474678
elu,32,0.2,2000,10,adamax,0,-0.0906275026500225
elu,32,0.25,2000,10,adamax,0,-0.09064183384180069
softplus,16,0.05,2000,10,adam,0,-0.0906463973224163
softplus,16,0.05,2000,10,rmsprop,0,-0.09067640081048012
softplus,8,0.15,2000,10,adam,0,-0.09069286659359932
softplus,4,0.15,2000,10,rmsprop,0,-0.09070030227303505
softplus,4,0.1,2000,10,adamax,0,-0.09075704216957092
tanh,64,0.2,2000,10,sgd,0,-0.09080218151211739
sigmoid,4,0.1,2000,10,adamax,0,-0.09088416397571564
tanh,32,0.25,2000,10,adamax,0,-0.09089400991797447
tanh,32,0.1,2000,10,sgd,0,-0.0908951461315155
elu,64,0.15,2000,10,sgd,0,-0.0909295491874218
sigmoid,4,0.25,2000,10,rmsprop,0,-0.09093930944800377
elu,32,0.05,2000,10,adamax,0,-0.09094352275133133
selu,32,0.05,2000,10,adamax,0,-0.09094661846756935
elu,32,0.15,2000,10,sgd,0,-0.09097174555063248
softplus,4,0.05,2000,10,adam,0,-0.09107912331819534
sigmoid,8,0.25,2000,10,adam,0,-0.0911019816994667
softplus,4,0.1,2000,10,rmsprop,0,-0.09111136570572853
elu,32,0.2,2000,10,sgd,0,-0.09114035964012146
selu,32,0.2,2000,10,adamax,0,-0.09116960316896439
softplus,8,0.2,2000,10,adam,0,-0.091196458786726
tanh,32,0.05,2000,10,adamax,0,-0.09123179316520691
selu,64,0.25,2000,10,sgd,0,-0.09126072004437447
elu,32,0.25,2000,10,sgd,0,-0.09126203507184982
softplus,32,0.15,2000,10,rmsprop,0,-0.09126229211688042
relu,32,0.2,2000,10,adamax,0,-0.0912640430033207
sigmoid,4,0.05,2000,10,adamax,0,-0.0912896916270256
elu,64,0.25,2000,10,sgd,0,-0.09129820019006729
sigmoid,8,0.2,2000,10,adam,0,-0.09133027493953705
selu,4,0.05,2000,10,adam,0,-0.09133147075772285
selu,32,0.1,2000,10,adamax,0,-0.09141717851161957
sigmoid,4,0.05,2000,10,rmsprop,0,-0.09146434813737869
elu,32,0.15,2000,10,adamax,0,-0.09147588536143303
sigmoid,8,0.15,2000,10,rmsprop,0,-0.09151691570878029
sigmoid,16,0.05,2000,10,rmsprop,0,-0.09158153459429741
relu,16,0.2,2000,10,sgd,0,-0.09158947691321373
relu,32,0.05,2000,10,adamax,0,-0.09162602573633194
selu,64,0.2,2000,10,adamax,0,-0.09162997454404831
sigmoid,4,0.2,2000,10,rmsprop,0,-0.09166626632213593
