activation,batch_size,dropout_rate,epochs,neurons,optimizer,verbose,score
softplus,8,0.15,2000,10,adamax,0,-0.21058863401412964
elu,16,0.1,2000,10,rmsprop,0,-0.2105918526649475
softplus,4,0.25,2000,10,rmsprop,0,-0.2106424644589424
elu,4,0.15,2000,10,rmsprop,0,-0.21064583957195282
tanh,4,0.25,2000,10,rmsprop,0,-0.21074359863996506
selu,16,0.15,2000,10,sgd,0,-0.21075096726417542
selu,16,0.15,2000,10,adam,0,-0.2110775262117386
tanh,16,0.15,2000,10,adamax,0,-0.21107862889766693
elu,8,0.05,2000,10,adam,0,-0.21119806170463562
selu,8,0.1,2000,10,rmsprop,0,-0.21128404885530472
tanh,8,0.2,2000,10,sgd,0,-0.2113088294863701
elu,8,0.15,2000,10,sgd,0,-0.21133358776569366
relu,4,0.25,2000,10,sgd,0,-0.2113495171070099
softplus,16,0.05,2000,10,adam,0,-0.21148113906383514
selu,16,0.1,2000,10,adam,0,-0.21148274838924408
softplus,32,0.05,2000,10,rmsprop,0,-0.2115577533841133
elu,32,0.1,2000,10,adamax,0,-0.2116430252790451
elu,4,0.05,2000,10,rmsprop,0,-0.21166492253541946
relu,4,0.15,2000,10,sgd,0,-0.21173477172851562
relu,4,0.1,2000,10,sgd,0,-0.2117391675710678
relu,8,0.25,2000,10,sgd,0,-0.21177653968334198
sigmoid,16,0.2,2000,10,adam,0,-0.21187365800142288
elu,64,0.2,2000,10,adamax,0,-0.2118857279419899
softplus,16,0.15,2000,10,rmsprop,0,-0.2118861973285675
tanh,64,0.05,2000,10,adam,0,-0.21197541058063507
relu,4,0.05,2000,10,sgd,0,-0.2119951695203781
tanh,8,0.15,2000,10,sgd,0,-0.2123037874698639
elu,8,0.1,2000,10,adam,0,-0.21251337230205536
elu,64,0.25,2000,10,adam,0,-0.21252361685037613
tanh,64,0.1,2000,10,adam,0,-0.21252451837062836
tanh,64,0.25,2000,10,adam,0,-0.21252945065498352
selu,64,0.05,2000,10,sgd,0,-0.21259921789169312
softplus,4,0.2,2000,10,rmsprop,0,-0.21260228753089905
elu,32,0.1,2000,10,adam,0,-0.21263490617275238
elu,8,0.1,2000,10,rmsprop,0,-0.2126612290740013
selu,32,0.15,2000,10,adam,0,-0.21271218359470367
tanh,4,0.15,2000,10,rmsprop,0,-0.2127900868654251
elu,64,0.1,2000,10,adamax,0,-0.21281155198812485
softplus,16,0.1,2000,10,adam,0,-0.21282745152711868
tanh,8,0.15,2000,10,rmsprop,0,-0.21286258846521378
selu,16,0.05,2000,10,sgd,0,-0.21293897926807404
selu,8,0.15,2000,10,adam,0,-0.21303240209817886
softplus,64,0.05,2000,10,rmsprop,0,-0.21305910497903824
relu,4,0.2,2000,10,sgd,0,-0.2130608931183815
tanh,64,0.1,2000,10,adamax,0,-0.21312350034713745
elu,16,0.1,2000,10,adamax,0,-0.2131410911679268
tanh,16,0.05,2000,10,adam,0,-0.21317139267921448
tanh,8,0.05,2000,10,rmsprop,0,-0.2131829857826233
relu,16,0.2,2000,10,sgd,0,-0.21319977939128876
elu,16,0.05,2000,10,adam,0,-0.2133825719356537
elu,64,0.15,2000,10,adam,0,-0.21338661760091782
relu,8,0.15,2000,10,sgd,0,-0.2133919894695282
selu,16,0.05,2000,10,rmsprop,0,-0.21353484690189362
elu,4,0.25,2000,10,adam,0,-0.21354123204946518
softplus,8,0.1,2000,10,rmsprop,0,-0.21360993385314941
softplus,8,0.05,2000,10,rmsprop,0,-0.21361374109983444
elu,8,0.1,2000,10,sgd,0,-0.2137150838971138
tanh,4,0.25,2000,10,adam,0,-0.2137654349207878
elu,16,0.05,2000,10,rmsprop,0,-0.213873989880085
softplus,8,0.25,2000,10,rmsprop,0,-0.21390597522258759
relu,16,0.1,2000,10,adamax,0,-0.2141316831111908
elu,16,0.2,2000,10,adamax,0,-0.21418831497430801
selu,4,0.1,2000,10,rmsprop,0,-0.2142224684357643
tanh,8,0.1,2000,10,sgd,0,-0.21431809663772583
selu,32,0.15,2000,10,adamax,0,-0.21432124078273773
softplus,8,0.05,2000,10,adam,0,-0.21433933079242706
tanh,64,0.15,2000,10,adam,0,-0.21443238854408264
elu,32,0.15,2000,10,adamax,0,-0.21462709456682205
elu,8,0.25,2000,10,sgd,0,-0.2146986722946167
selu,8,0.15,2000,10,rmsprop,0,-0.21480882167816162
selu,4,0.05,2000,10,adam,0,-0.21483736485242844
selu,32,0.1,2000,10,rmsprop,0,-0.21494833379983902
tanh,8,0.05,2000,10,sgd,0,-0.21497320383787155
tanh,4,0.05,2000,10,rmsprop,0,-0.2150302678346634
softplus,8,0.15,2000,10,rmsprop,0,-0.21506423503160477
tanh,8,0.15,2000,10,adam,0,-0.21507376432418823
tanh,32,0.15,2000,10,adamax,0,-0.21508976817131042
relu,32,0.1,2000,10,adamax,0,-0.21515006572008133
softplus,4,0.15,2000,10,rmsprop,0,-0.21521593630313873
selu,64,0.1,2000,10,rmsprop,0,-0.21525666862726212
tanh,4,0.1,2000,10,rmsprop,0,-0.21531563997268677
elu,8,0.05,2000,10,sgd,0,-0.21558275073766708
selu,64,0.15,2000,10,adam,0,-0.21566588431596756
selu,16,0.1,2000,10,rmsprop,0,-0.21566813439130783
tanh,8,0.25,2000,10,sgd,0,-0.2159133180975914
tanh,8,0.1,2000,10,rmsprop,0,-0.21592610329389572
tanh,8,0.1,2000,10,adam,0,-0.21611826866865158
selu,32,0.1,2000,10,adamax,0,-0.21633405983448029
sigmoid,16,0.05,2000,10,rmsprop,0,-0.2164195254445076
relu,4,0.2,2000,10,adamax,0,-0.2170911282300949
selu,8,0.05,2000,10,rmsprop,0,-0.21709509193897247
selu,32,0.15,2000,10,sgd,0,-0.21710100024938583
sigmoid,64,0.05,2000,10,rmsprop,0,-0.2172713428735733
selu,16,0.1,2000,10,sgd,0,-0.21740882098674774
selu,8,0.05,2000,10,adam,0,-0.21744044870138168
selu,32,0.2,2000,10,adamax,0,-0.21777315437793732
relu,64,0.05,2000,10,adamax,0,-0.21779249608516693
selu,32,0.25,2000,10,sgd,0,-0.21780455857515335
tanh,64,0.2,2000,10,adam,0,-0.2179592400789261
selu,16,0.05,2000,10,adam,0,-0.2179749459028244
elu,32,0.2,2000,10,adamax,0,-0.21816640347242355
softplus,4,0.05,2000,10,rmsprop,0,-0.21820110082626343
selu,32,0.05,2000,10,sgd,0,-0.21826528757810593
elu,64,0.2,2000,10,adam,0,-0.21833179891109467
elu,4,0.05,2000,10,adam,0,-0.2184397056698799
softplus,4,0.2,2000,10,adam,0,-0.21858733147382736
tanh,32,0.2,2000,10,adamax,0,-0.2187419980764389
sigmoid,4,0.2,2000,10,adamax,0,-0.21878648549318314
sigmoid,4,0.15,2000,10,adamax,0,-0.2187875360250473
sigmoid,32,0.1,2000,10,rmsprop,0,-0.2188098281621933
selu,4,0.05,2000,10,rmsprop,0,-0.21916404366493225
elu,64,0.15,2000,10,adamax,0,-0.21918561309576035
tanh,4,0.15,2000,10,adam,0,-0.219276525080204
elu,4,0.15,2000,10,adam,0,-0.2193894311785698
selu,16,0.1,2000,10,adamax,0,-0.21952549368143082
tanh,4,0.1,2000,10,adam,0,-0.21955282241106033
relu,4,0.25,2000,10,adamax,0,-0.2199406549334526
softplus,8,0.1,2000,10,adam,0,-0.2200508564710617
relu,64,0.25,2000,10,rmsprop,0,-0.22012697905302048
elu,16,0.05,2000,10,sgd,0,-0.2201753333210945
relu,32,0.05,2000,10,adam,0,-0.22021403908729553
tanh,64,0.2,2000,10,adamax,0,-0.2204323559999466
selu,64,0.25,2000,10,adamax,0,-0.22059736400842667
softplus,64,0.15,2000,10,rmsprop,0,-0.22082412987947464
tanh,4,0.2,2000,10,adam,0,-0.22123047709465027
elu,4,0.2,2000,10,adam,0,-0.22123540937900543
relu,64,0.15,2000,10,adamax,0,-0.22143810242414474
selu,4,0.15,2000,10,rmsprop,0,-0.22174247354269028
softplus,64,0.2,2000,10,rmsprop,0,-0.22183281183242798
selu,32,0.2,2000,10,sgd,0,-0.22186443954706192
selu,32,0.1,2000,10,sgd,0,-0.22196650505065918
tanh,64,0.15,2000,10,adamax,0,-0.22203076630830765
elu,32,0.25,2000,10,adamax,0,-0.22264786064624786
softplus,16,0.05,2000,10,adamax,0,-0.22278372198343277
tanh,16,0.05,2000,10,sgd,0,-0.2228839471936226
relu,16,0.25,2000,10,sgd,0,-0.22331029921770096
sigmoid,8,0.05,2000,10,adamax,0,-0.22339655458927155
softplus,64,0.1,2000,10,rmsprop,0,-0.22341388463974
relu,64,0.25,2000,10,adam,0,-0.22354264557361603
sigmoid,8,0.15,2000,10,adamax,0,-0.22370018810033798
sigmoid,4,0.2,2000,10,adam,0,-0.22372692078351974
selu,8,0.2,2000,10,adam,0,-0.22390937060117722
relu,16,0.05,2000,10,sgd,0,-0.22422531247138977
elu,64,0.25,2000,10,adamax,0,-0.22465862333774567
relu,32,0.05,2000,10,rmsprop,0,-0.22473612427711487
tanh,64,0.25,2000,10,adamax,0,-0.22480779886245728
sigmoid,16,0.05,2000,10,adam,0,-0.2249659225344658
sigmoid,32,0.2,2000,10,rmsprop,0,-0.2250167727470398
selu,64,0.1,2000,10,sgd,0,-0.22520510107278824
relu,16,0.25,2000,10,adam,0,-0.22605962306261063
relu,32,0.1,2000,10,rmsprop,0,-0.22625470161437988
elu,16,0.15,2000,10,sgd,0,-0.2264072671532631
relu,4,0.05,2000,10,adam,0,-0.22657257318496704
relu,16,0.2,2000,10,adamax,0,-0.22668340802192688
selu,32,0.25,2000,10,adamax,0,-0.22680382430553436
elu,16,0.25,2000,10,sgd,0,-0.22697167098522186
softplus,4,0.05,2000,10,adam,0,-0.22697295993566513
tanh,32,0.25,2000,10,adamax,0,-0.22715900093317032
sigmoid,32,0.05,2000,10,rmsprop,0,-0.22723453491926193
relu,16,0.15,2000,10,adamax,0,-0.22745966911315918
elu,16,0.1,2000,10,sgd,0,-0.22772907465696335
